region,Year,quantile,lag,Estimate,STA,STA_cor,STA_cor_p,SPI,SPI_cor,SPI_cor_p
"a. Pacific 
Northwest",1984,10,lag_0,0.741313095131722,-1.03575037868551,-0.196486014597303,0.24,0.600022406695004,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1984,10,lag_1,0.741313095131722,-0.741095056384616,-0.148174357518156,0.38,1.327270791406,0.362425254128277,0.03
"a. Pacific 
Northwest",1984,10,lag_2,0.741313095131722,-1.33155794410941,-0.110232893677887,0.52,1.22677729772897,0.183847222182792,0.28
"a. Pacific 
Northwest",1984,50,lag_0,1.48832533434545,-1.03575037868551,-0.212817945041297,0.21,0.600022406695004,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1984,50,lag_1,1.48832533434545,-0.741095056384616,-0.0646420011291659,0.7,1.327270791406,0.35537103061443,0.03
"a. Pacific 
Northwest",1984,50,lag_2,1.48832533434545,-1.33155794410941,0.127243669088036,0.45,1.22677729772897,0.0624946668179992,0.71
"a. Pacific 
Northwest",1984,90,lag_0,1.56927321571295,-1.03575037868551,0.230868561222735,0.17,0.600022406695004,-0.190836836504165,0.26
"a. Pacific 
Northwest",1984,90,lag_1,1.56927321571295,-0.741095056384616,0.0134538875233324,0.94,1.327270791406,0.165476926473206,0.33
"a. Pacific 
Northwest",1984,90,lag_2,1.56927321571295,-1.33155794410941,0.382683344252227,0.02,1.22677729772897,-0.179605197910766,0.29
"a. Pacific 
Northwest",1985,10,lag_0,0.715210184682027,-1.50508916162405,-0.196486014597303,0.24,-0.936873328592606,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1985,10,lag_1,0.715210184682027,-1.03575037868551,-0.148174357518156,0.38,0.600022406695004,0.362425254128277,0.03
"a. Pacific 
Northwest",1985,10,lag_2,0.715210184682027,-0.741095056384616,-0.110232893677887,0.52,1.327270791406,0.183847222182792,0.28
"a. Pacific 
Northwest",1985,50,lag_0,1.35540497149502,-1.50508916162405,-0.212817945041297,0.21,-0.936873328592606,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1985,50,lag_1,1.35540497149502,-1.03575037868551,-0.0646420011291659,0.7,0.600022406695004,0.35537103061443,0.03
"a. Pacific 
Northwest",1985,50,lag_2,1.35540497149502,-0.741095056384616,0.127243669088036,0.45,1.327270791406,0.0624946668179992,0.71
"a. Pacific 
Northwest",1985,90,lag_0,1.56577553414658,-1.50508916162405,0.230868561222735,0.17,-0.936873328592606,-0.190836836504165,0.26
"a. Pacific 
Northwest",1985,90,lag_1,1.56577553414658,-1.03575037868551,0.0134538875233324,0.94,0.600022406695004,0.165476926473206,0.33
"a. Pacific 
Northwest",1985,90,lag_2,1.56577553414658,-0.741095056384616,0.382683344252227,0.02,1.327270791406,-0.179605197910766,0.29
"a. Pacific 
Northwest",1986,10,lag_0,0.657987227406418,-0.847033489928082,-0.196486014597303,0.24,-0.129391933614227,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1986,10,lag_1,0.657987227406418,-1.50508916162405,-0.148174357518156,0.38,-0.936873328592606,0.362425254128277,0.03
"a. Pacific 
Northwest",1986,10,lag_2,0.657987227406418,-1.03575037868551,-0.110232893677887,0.52,0.600022406695004,0.183847222182792,0.28
"a. Pacific 
Northwest",1986,50,lag_0,1.36307187996203,-0.847033489928082,-0.212817945041297,0.21,-0.129391933614227,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1986,50,lag_1,1.36307187996203,-1.50508916162405,-0.0646420011291659,0.7,-0.936873328592606,0.35537103061443,0.03
"a. Pacific 
Northwest",1986,50,lag_2,1.36307187996203,-1.03575037868551,0.127243669088036,0.45,0.600022406695004,0.0624946668179992,0.71
"a. Pacific 
Northwest",1986,90,lag_0,1.51604727704752,-0.847033489928082,0.230868561222735,0.17,-0.129391933614227,-0.190836836504165,0.26
"a. Pacific 
Northwest",1986,90,lag_1,1.51604727704752,-1.50508916162405,0.0134538875233324,0.94,-0.936873328592606,0.165476926473206,0.33
"a. Pacific 
Northwest",1986,90,lag_2,1.51604727704752,-1.03575037868551,0.382683344252227,0.02,0.600022406695004,-0.179605197910766,0.29
"a. Pacific 
Northwest",1987,10,lag_0,0.689125147806621,0.862456907175062,-0.196486014597303,0.24,-1.0547193590486,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1987,10,lag_1,0.689125147806621,-0.847033489928082,-0.148174357518156,0.38,-0.129391933614227,0.362425254128277,0.03
"a. Pacific 
Northwest",1987,10,lag_2,0.689125147806621,-1.50508916162405,-0.110232893677887,0.52,-0.936873328592606,0.183847222182792,0.28
"a. Pacific 
Northwest",1987,50,lag_0,1.41484239540291,0.862456907175062,-0.212817945041297,0.21,-1.0547193590486,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1987,50,lag_1,1.41484239540291,-0.847033489928082,-0.0646420011291659,0.7,-0.129391933614227,0.35537103061443,0.03
"a. Pacific 
Northwest",1987,50,lag_2,1.41484239540291,-1.50508916162405,0.127243669088036,0.45,-0.936873328592606,0.0624946668179992,0.71
"a. Pacific 
Northwest",1987,90,lag_0,1.62025080359076,0.862456907175062,0.230868561222735,0.17,-1.0547193590486,-0.190836836504165,0.26
"a. Pacific 
Northwest",1987,90,lag_1,1.62025080359076,-0.847033489928082,0.0134538875233324,0.94,-0.129391933614227,0.165476926473206,0.33
"a. Pacific 
Northwest",1987,90,lag_2,1.62025080359076,-1.50508916162405,0.382683344252227,0.02,-0.936873328592606,-0.179605197910766,0.29
"a. Pacific 
Northwest",1988,10,lag_0,0.567494162624696,0.0379892884234035,-0.196486014597303,0.24,-0.866120013466919,-0.0884220362288098,0.6
"a. Pacific 
Northwest",1988,10,lag_1,0.567494162624696,0.862456907175062,-0.148174357518156,0.38,-1.0547193590486,0.362425254128277,0.03
"a. Pacific 
Northwest",1988,10,lag_2,0.567494162624696,-0.847033489928082,-0.110232893677887,0.52,-0.129391933614227,0.183847222182792,0.28
"a. Pacific 
Northwest",1988,50,lag_0,1.37743523353372,0.0379892884234035,-0.212817945041297,0.21,-0.866120013466919,-0.0120872302553006,0.94
"a. Pacific 
Northwest",1988,50,lag_1,1.37743523353372,0.862456907175062,-0.0646420011291659,0.7,-1.0547193590486,0.35537103061443,0.03
"a. Pacific 
Northwest",1988,50,lag_2,1.37743523353372,-0.847033489928082,0.127243669088036,0.45,-0.129391933614227,0.0624946668179992,0.71
"a. Pacific 
Northwest",1988,90,lag_0,1.51393537096406,0.0379892884234035,0.230868561222735,0.17,-0.866120013466919,-0.190836836504165,0.26
"a. Pacific 
Northwest",1988,90,lag_1,1.51393537096406,0.862456907175062,0.0134538875233324,0.94,-1.0547193590486,0.165476926473206,0.33
