region,quantile,Year,Estimate,Std..Error,P_value,upper,lower,cv,mk_pvalue,sens_slope,mk_symbol,regional_mean_CV
a. Pacific Northwest,10,1982,0.698711000774482,0.0557,0,0.8078,0.5896,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1987,0.689125147806621,0.0724,0,0.8311,0.5472,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1991,0.729668542459296,0.0595,0,0.8463,0.6131,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2000,0.722166172419008,0.0614,0,0.8425,0.6019,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1997,0.76242484722926,0.0552,0,0.8706,0.6542,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2018,0.669472481447052,0.0693,0,0.8053,0.5336,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2008,0.789879700670962,0.0604,0,0.9084,0.6714,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2020,0.747593906778555,0.0679,0,0.8808,0.6144,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2017,0.685607135251982,0.0617,0,0.8065,0.5647,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2004,0.776221560676892,0.0663,0,0.9061,0.6463,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2011,0.765820085271995,0.0564,0,0.8764,0.6552,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1984,0.741313095131722,0.0577,0,0.8544,0.6282,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1996,0.71935955115061,0.0587,0,0.8343,0.6044,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2014,0.812063410520189,0.0715,0,0.9521,0.672,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1988,0.567494162624696,0.0669,0,0.6987,0.4363,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2019,0.683569523884682,0.0678,0,0.8164,0.5508,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2016,0.632613961810794,0.0634,0,0.7568,0.5084,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2013,0.72025073091482,0.0626,0,0.843,0.5975,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1994,0.732679306862711,0.0744,0,0.8786,0.5868,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2010,0.782383987873094,0.0595,0,0.899,0.6658,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1983,0.862014493522328,0.0585,0,0.9767,0.7474,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2001,0.785670422449971,0.0718,0,0.9264,0.645,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2015,0.683855050819421,0.0804,0,0.8414,0.5264,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2002,0.618812679548601,0.0581,0,0.7327,0.5049,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2012,0.775007650194774,0.0619,0,0.8964,0.6536,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2007,0.63651837327622,0.0619,0,0.7578,0.5152,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,2009,0.741482145694454,0.0691,0,0.8768,0.6061,Q10: 9%,0.687,0.02,Q10: =,5.33
a. Pacific Northwest,10,1990,0.750431902082657,0.0672,0,0.8821,0.6187,Q10: 9%,0.687,0.02,Q10: =,5.33
